Day,ham4ham,hamilton musical,hamilton lottery
07-06,0,10,17
07-07,0,15,0
07-08,0,10,17
07-09,0,20,0
07-10,0,21,0
07-11,0,19,43
07-12,0,26,44
07-13,0,44,50
07-14,0,20,100
07-15,0,17,34
07-16,0,20,0
07-17,0,36,35
07-18,0,68,22
07-19,0,47,46
07-20,0,41,70
07-21,0,32,50
07-22,0,24,17
07-23,0,18,52
07-24,0,29,0
07-25,0,6,66
07-26,0,19,22
07-27,0,25,50
07-28,0,17,34
07-29,0,22,17
07-30,0,25,17
07-31,0,28,53
08-01,0,16,0
08-02,100,19,43
08-03,0,28,0
08-04,0,10,34
08-05,0,37,51
08-06,0,48,34
08-07,81,100,35
08-08,0,60,43
08-09,0,48,44
08-10,0,42,67
08-11,0,32,66
08-12,0,30,51
08-13,0,43,51
08-14,0,36,52
08-15,0,54,42
08-16,98,42,21
08-17,0,27,66
