Day,hamilton musical,hamilton merchandise,hamilton album,hamilton soundtrack
06-01,0,0,0,0
06-02,12,0,0,0
06-03,7,0,24,0
06-04,15,0,0,0
06-05,13,0,50,25
06-06,3,99,0,16
06-07,10,0,0,0
06-08,12,0,24,0
06-09,5,0,48,0
06-10,5,0,24,0
06-11,8,0,0,0
06-12,10,0,26,13
06-13,0,0,32,16
06-14,0,0,0,0
06-15,5,0,24,0
06-16,5,76,48,0
06-17,7,0,24,0
06-18,2,0,24,0
06-19,13,0,0,13
06-20,9,0,0,0
06-21,10,0,0,0
06-22,13,0,0,0
06-23,12,0,0,0
06-24,7,0,0,0
06-25,7,0,49,12
06-26,8,0,50,13
06-27,16,0,31,0
06-28,10,0,63,16
06-29,5,0,24,0
06-30,7,0,24,0
07-01,10,0,24,36
07-02,16,0,76,0
07-03,12,0,0,15
07-04,7,0,0,0
07-05,0,0,34,0
07-06,10,0,49,24
07-07,15,0,48,12
07-08,10,78,24,12
07-09,20,0,0,24
07-10,21,0,76,0
07-11,19,0,31,0
07-12,26,0,93,0
07-13,44,77,48,0
07-14,20,76,0,0
07-15,17,0,24,12
07-16,20,78,24,0
07-17,36,81,0,25
07-18,68,0,0,0
07-19,47,0,33,16
07-20,41,0,0,38
07-21,32,0,0,0
07-22,24,76,24,12
07-23,18,0,25,12
07-24,29,0,0,0
07-25,6,0,0,0
07-26,19,0,31,0
07-27,25,0,48,12
07-28,17,0,0,24
07-29,22,0,24,0
07-30,25,0,0,36
07-31,28,0,0,51
08-01,16,0,61,0
08-02,19,0,0,31
08-03,28,0,0,12
08-04,10,0,0,12
08-05,37,0,72,12
08-06,48,0,49,37
08-07,100,0,100,100
08-08,60,0,0,15
08-09,48,100,94,0
08-10,40,0,0,0
08-11,29,0,47,0
08-12,30,0,24,24
08-13,40,0,25,12
08-14,38,0,25,37
08-15,56,0,30,15
08-16,41,0,61,15
08-17,29,0,24,36
08-18,34,75,0,0
08-19,22,0,47,24
08-20,32,0,24,36
08-21,20,0,0,0
08-22,34,0,0,15
08-23,25,0,60,15
08-24,17,74,0,12
