Day,ham4ham
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,0
2017-06-25,9
2017-06-26,0
2017-06-27,15
2017-06-28,0
2017-06-29,0
2017-06-30,16
2017-07-01,0
2017-07-02,0
2017-07-03,8
2017-07-04,9
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-08,9
2017-07-09,35
2017-07-10,7
2017-07-11,7
2017-07-12,0
2017-07-13,0
2017-07-14,23
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,15
2017-07-19,7
2017-07-20,0
2017-07-21,8
2017-07-22,0
2017-07-23,0
2017-07-24,7
2017-07-25,0
2017-07-26,15
2017-07-27,7
2017-07-28,0
2017-07-29,9
2017-07-30,9
2017-07-31,7
2017-08-01,7
2017-08-02,7
2017-08-03,0
2017-08-04,0
2017-08-05,8
2017-08-06,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,7
2017-08-12,8
2017-08-13,0
2017-08-14,0
2017-08-15,22
2017-08-16,100
2017-08-17,36
2017-08-18,0
2017-08-19,0
2017-08-20,16
2017-08-21,7
2017-08-22,0
2017-08-23,0
2017-08-24,7
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,14
2017-08-30,7
2017-08-31,0
2017-09-01,0
2017-09-02,16
2017-09-03,0
2017-09-04,0
2017-09-05,7
2017-09-06,6
2017-09-07,0
2017-09-08,7
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,0
