Day,hamilton musical
2015-08-28,3
2015-08-29,4
2015-08-30,5
2015-08-31,2
2015-09-01,1
2015-09-02,3
2015-09-03,4
2015-09-04,2
2015-09-05,5
2015-09-06,3
2015-09-07,2
2015-09-08,3
2015-09-09,2
2015-09-10,3
2015-09-11,3
2015-09-12,1
2015-09-13,2
2015-09-14,3
2015-09-15,2
2015-09-16,2
2015-09-17,1
2015-09-18,4
2015-09-19,2
2015-09-20,2
2015-09-21,18
2015-09-22,18
2015-09-23,22
2015-09-24,15
2015-09-25,22
2015-09-26,24
2015-09-27,20
2015-09-28,19
2015-09-29,22
2015-09-30,20
2015-10-01,17
2015-10-02,20
2015-10-03,20
2015-10-04,16
2015-10-05,19
2015-10-06,20
2015-10-07,17
2015-10-08,15
2015-10-09,12
2015-10-10,20
2015-10-11,15
2015-10-12,16
2015-10-13,17
2015-10-14,18
2015-10-15,12
2015-10-16,22
2015-10-17,22
2015-10-18,20
2015-10-19,25
2015-10-20,16
2015-10-21,17
2015-10-22,17
2015-10-23,20
2015-10-24,19
2015-10-25,24
2015-10-26,17
2015-10-27,21
2015-10-28,16
2015-10-29,17
2015-10-30,18
2015-10-31,15
2015-11-01,13
2015-11-02,19
2015-11-03,15
2015-11-04,17
2015-11-05,18
2015-11-06,18
2015-11-07,34
2015-11-08,31
2015-11-09,100
2015-11-10,41
2015-11-11,30
2015-11-12,27
2015-11-13,24
